,fold0,fold1,fold2,fold3,fold4,fold5,mean_gain
days_since_icb_onset,7580.421615123749,14093.385359048843,13942.642565727234,17460.707273960114,23501.18438434601,27091.067658662796,17278.234809478123
q4_rate_w13,332.1976270675659,2001.4749029874802,3739.3706617355347,4677.944620609283,5899.398588657379,11122.424881458282,4628.801880419254
n_events_w52,1129.8520941734314,3640.8809710741043,2921.2467761039734,3391.320322036743,5832.568745613098,6412.456560850143,3888.054244975249
tone_sum_w52,2590.5820960998535,4562.1174964904785,4079.8390641212463,4385.317997455597,2919.484483718872,4049.674915790558,3764.5026756127677
rate_w13,533.6981153488159,2983.269909262657,1984.989911556244,2378.8417959213257,4244.997521877289,6907.371645450592,3172.194816569487
q3_w52,1539.784993648529,4366.167058467865,3110.67489862442,2744.9948768615723,2969.5871629714966,3990.2147154808044,3120.2372843424478
goldstein_sum_w52,1535.8043308258057,4881.733271121979,3090.4584817886353,1828.1082429885864,2481.2455472946167,2997.2448387145996,2802.4324521223703
icb_prior_crises,1417.33695602417,3377.6604610681534,2463.14834356308,2660.454369544983,2927.1290516853333,3352.7792134284973,2699.751399219036
tone_mean_w13,1909.0040860176086,3675.30358171463,2778.3895354270935,1800.195276260376,2577.2205839157104,3277.311462879181,2669.5707543691
goldstein_mean_w13,1703.729196548462,3665.6213483810425,2821.0075311660767,1914.0470180511475,2422.845453262329,2725.7744159698486,2542.170827229818
n_mentions_w52,612.8511037826538,2823.309808254242,2121.400924682617,1501.897177696228,3525.401874065399,4589.8586893081665,2529.1199296315513
q4_w52,1045.6473684310913,2979.750670313835,2510.023847103119,1800.270764350891,2280.014608860016,2433.370153903961,2174.8462354938188
r11_w13,1173.1740789413452,2228.3853882551193,2577.4563450813293,2148.5195116996765,2494.2560453414917,2214.2116146087646,2139.333830654621
r15_w13,1759.7764601707458,2274.083709716797,1993.0057439804077,1936.8695316314697,2020.5376381874084,1995.7950778007507,1996.6780269145966
ev_ratio_4_52,870.3712735176086,2284.8547530174255,1736.0966877937317,1513.430959701538,1808.3359961509705,2337.081665992737,1758.3618893623352
r17_w13,1110.4631562232971,1975.4899705648422,1655.1065607070923,1493.9855546951294,1631.586865901947,1946.6309950351715,1635.5438505212467
tone_delta_4_52,624.0452809333801,1799.8013000488281,1270.0402116775513,714.2834115028381,1421.8497161865234,2555.8417167663574,1397.643606185913
q4_share_w13,715.4458022117615,1431.378344297409,1091.6970500946045,1036.3196477890015,1397.4274234771729,2126.2415680885315,1299.7516393264134
goldstein_wsum_w13,1656.901566028595,1357.5704309940338,1094.1808309555054,613.0237703323364,1343.5842289924622,1442.646713256836,1251.317923426628
tone_mean_w4,249.03979969024658,1478.3309265375137,1193.1591520309448,1145.1648473739624,1458.8034706115723,1928.3885135650635,1242.1477849682171
q4_rate_w4,185.74947261810303,544.9267754554749,685.2203578948975,1204.0428943634033,2458.6443996429443,2287.6370306015015,1227.7034884293873
q3_w13,503.81717014312744,2113.1129841804504,966.1079683303833,1048.0546588897705,1168.8861951828003,1393.6513776779175,1198.9383924007416
r19_w13,1113.1786842346191,1425.7673851251602,1203.2562155723572,1169.6891069412231,897.1265234947205,1157.2831649780273,1161.0501800576847
r16_w13,487.154860496521,1099.7873116731644,1158.116961479187,1013.9821901321411,1570.1309442520142,1539.0555727481842,1144.704640130202
r13_w13,186.55880212783813,1030.974079489708,613.7259125709534,536.6966981887817,1011.3755822181702,3447.886176109314,1137.8695417841275
root_share_w4,390.1381793022156,1665.0589442253113,1136.1695289611816,936.2506580352783,1060.767460823059,1617.635992527008,1134.336793979009
q3_share_w4,139.4124116897583,905.916170835495,600.8011507987976,947.470495223999,1673.1661643981934,2494.4866914749146,1126.875514070193
n_mentions_w13,1424.8854665756226,1464.64881169796,1001.1526498794556,740.8219308853149,975.7275910377502,1104.1229643821716,1118.5599024097125
tone_wmean_w4,391.7581310272217,1716.6051803827286,1140.615221977234,645.9870271682739,1289.495310306549,1272.7979617118835,1076.2098054289818
r19_share_w4,394.555212020874,1026.178071975708,1287.1006774902344,893.3085079193115,1277.4421815872192,1397.5675120353699,1046.0253605047862
goldstein_sum_w13,893.3906593322754,1509.0930415391922,944.6015167236328,747.6078777313232,736.8647332191467,1189.1565670967102,1003.4523992737135
q4_ratio_4_52,611.4478945732117,1336.8124111890793,986.3835945129395,537.8540544509888,1141.2995343208313,1157.7122220993042,961.9182851910591
r11_share_w4,376.5831618309021,1111.9088904857635,1052.744679927826,624.4970073699951,1019.1486883163452,1581.9827284812927,961.1441927353541
q2_w13,434.0718688964844,1182.7431477308273,835.5245985984802,812.6691932678223,1043.8198738098145,1452.5819659233093,960.2351080377897
