,fold0,fold1,fold2,fold3,fold4,fold5,mean_gain
q4_w52,20369.66239976883,59646.872455596924,66823.93733596802,112223.18989086151,191299.08733940125,275809.0501174927,121028.63325651486
q4_w13,47767.562247276306,48610.0838470459,87320.79795265198,159388.5062303543,163823.87597084045,201966.55757141113,118146.23063659668
q4_ratio_4_52,7159.080513000488,18327.838057518005,28747.584845542908,48498.42460632324,87867.93383789062,127514.33166408539,53019.198920726776
ev_ratio_4_52,7485.393857002258,9501.843201637268,23954.629020690918,31902.794402122498,58720.61596870422,86018.07420444489,36263.891775767006
q4_w4,23355.23363685608,40545.09442901611,60562.28111553192,15911.833003997803,40595.99879837036,21646.751293182373,33769.53204615911
q4_base_4w,4713.998026847839,16060.237716674805,14917.349336624146,31228.64886379242,25568.30920791626,46352.03800392151,23140.09685929616
q4_w1,8413.926253318787,10311.250658035278,7457.91948223114,18994.879974365234,25647.296661376953,39718.35961723328,18423.938774426777
q4_m_w13,2965.9189376831055,3561.53075504303,7913.67530632019,16454.093559265137,37465.2266292572,30160.600576400757,16420.174293994904
ev_ratio_1_13,7035.1847448349,10064.306425094604,9469.182836532593,13422.230008125305,15766.452363967896,21829.79382133484,12931.19169998169
q4_m_w1,1938.1681127548218,2909.313675880432,15373.607859611511,10754.181290626526,17399.073289871216,22179.71219921112,11759.009404659271
n_events_w1,1440.463701248169,2458.185896873474,4340.58709526062,12542.777080535889,21230.810800552368,26021.40319442749,11339.037961483002
q4_ratio_1_13,1791.875997543335,3882.903790473938,4625.383041381836,10235.983790397644,16321.861642837524,21356.18100643158,9702.364878177643
q3_w1,2157.1396169662476,3984.0393238067627,7695.737112045288,8323.308851242065,15941.5990524292,17839.237385749817,9323.510223706564
n_mentions_w1,1412.7528867721558,1496.3953895568848,2280.5793027877808,4753.185831069946,8601.831567764282,13266.906952857971,5301.94198846817
q3_w4,618.6538028717041,2171.1562910079956,2708.202935218811,4178.235862731934,8310.302570343018,7056.337482452393,4173.814824104309
q3_w13,1239.2496156692505,2195.0338048934937,2368.0074739456177,3212.9485177993774,3002.357000350952,8720.915907859802,3456.4187200864158
q3_w52,3487.950219154358,1827.5376930236816,3908.5135641098022,4201.388352394104,909.4256992340088,5550.27067565918,3314.181033929189
days_since_icb_onset,3280.1643834114075,2470.5965995788574,4556.796553611755,2768.449005126953,500.38709449768066,6082.71187877655,3276.5175858338675
tone_mean_w13,2150.934569835663,2255.0831031799316,2648.6910696029663,2028.2124061584473,1592.166103363037,8799.772199630737,3245.8099086284637
conflict_share_w4,4184.897228240967,3040.7839136123657,3216.070941925049,2637.1523971557617,3092.5804443359375,2582.2529764175415,3125.6229836146035
q2_w13,1527.647042274475,1139.3370952606201,2887.5350074768066,3982.280390739441,2363.802188873291,5671.2055015563965,2928.6345376968384
q1_share_w4,1122.6956715583801,1790.4569082260132,4268.431386947632,3445.8389949798584,2101.1833992004395,4569.02667427063,2882.938839197159
r13_w13,1311.366621017456,1507.2042903900146,2926.4490032196045,2679.381092071533,3080.9610176086426,4971.54067325592,2746.150449593862
tone_mean_w4,1431.7743501663208,1161.1841011047363,2618.228491783142,2903.8172931671143,1697.9953918457031,5683.576124191284,2582.7626253763833
rate_w13,1220.687882900238,891.8673992156982,3022.7402267456055,2131.980499267578,1598.8670120239258,6098.980502128601,2494.187253713608
q4_rate_w13,4217.522566795349,1045.4702997207642,2042.8384399414062,3335.1925916671753,896.9821968078613,3267.744411468506,2467.625084400177
tone_delta_4_52,1489.8226823806763,1338.605097770691,1939.1519451141357,1689.7382917404175,1709.9506206512451,5997.182203292847,2360.741806825002
q4_m_w4,757.4244031906128,819.9464998245239,440.29070472717285,1896.1735153198242,5376.609203338623,3937.534098625183,2204.6630708376565
root_share_w4,1573.965103149414,1067.3757982254028,1768.1418161392212,1898.307294845581,1406.2091007232666,4179.872901916504,1982.3120024998982
tone_sum_w52,1230.1991004943848,1489.0880975723267,1780.111050605774,1476.8182039260864,1499.5503063201904,4224.74870300293,1950.085910320282
goldstein_mean_w1,1236.185899734497,1390.7073020935059,1931.19868850708,1992.1549987792969,1438.6207103729248,3299.023283958435,1881.3151472409565
goldstein_mean_w13,1631.0722017288208,1097.2443981170654,2622.4335985183716,1667.8233060836792,702.3524971008301,3324.058698654175,1840.830783367157
rate_w1,968.1299953460693,1421.6822929382324,3473.0825185775757,1503.125699043274,481.69229888916016,2644.1871671676636,1748.6499953269958
tone_wmean_w4,1499.3616666793823,1284.143699645996,1539.799503326416,1520.9573001861572,1893.803596496582,2571.573101043701,1718.273144563039
q4_rate_w4,1751.8282833099365,1072.5953950881958,2367.0622148513794,1768.5975160598755,850.3662014007568,2045.4608993530273,1642.6517516771953
n_mentions_w52,1980.1180410385132,999.6112985610962,2363.077639579773,817.7538995742798,383.51369857788086,3206.618106842041,1625.115447362264
n_events_w52,1818.1266059875488,1250.5003957748413,1701.5413217544556,1836.538203239441,234.5033016204834,2746.6811962127686,1597.9818374315898
rate_w4,430.3000192642212,869.9552001953125,987.4119024276733,2137.7585945129395,1132.387897491455,3976.566192626953,1589.0633010864258
r18_w13,468.91300678253174,432.6978006362915,1135.4786071777344,2146.488101005554,1302.6846046447754,4040.2780017852783,1587.7566870053608
goldstein_sum_w52,1474.2041540145874,1307.68781375885,1753.684100151062,1467.0759992599487,165.67020225524902,3060.787905693054,1538.185029188792
r11_w13,1154.7790322303772,1193.7037897109985,1505.9715976715088,1703.6380071640015,975.6869029998779,1836.4915056228638,1395.0451392332714
q4_ba_w13,901.508053779602,739.1479024887085,2021.6545782089233,1261.889102935791,680.1016960144043,2073.0298976898193,1279.555205186208
n_mentions_w13,622.9461870193481,595.9234972000122,499.4582414627075,819.5463027954102,1727.3745098114014,3312.6381826400757,1262.9811534881592
r13_w1,446.3493480682373,557.7705945968628,582.3580160140991,931.0507946014404,2360.822940826416,2653.3458852767944,1255.2829298973083
r13_share_w4,500.4264030456543,854.2509021759033,1334.6270627975464,986.8376054763794,1295.2683029174805,2526.27649974823,1249.6144626935322
goldstein_wmean_w4,878.287838935852,880.2637977600098,1474.190894126892,1515.4603958129883,399.304500579834,1948.1279020309448,1182.6058882077534
q3_share_w4,399.7134017944336,464.0136957168579,1012.6389427185059,855.3706970214844,1420.0523166656494,2835.686700820923,1164.579292456309
n_mentions_w4,292.88007831573486,290.8477029800415,443.86989974975586,655.8991031646729,1862.2103023529053,3274.0847902297974,1136.6319794654846
