iso3,name,iso_num,region,subregion,lat,lon
AFG,Afghanistan,004,Asia,Southern Asia,34.13402601376932,66.59216131095278
ALA,Åland Islands,248,Europe,Northern Europe,,
ALB,Albania,008,Europe,Southern Europe,41.14165894891656,20.061082767269493
DZA,Algeria,012,Africa,Northern Africa,28.350969744889056,2.655846471976913
ASM,American Samoa,016,Oceania,Polynesia,-14.305711987770538,-170.7007316174498
AND,Andorra,020,Europe,Southern Europe,42.54859834854764,1.5802243611232871
AGO,Angola,024,Africa,Sub-Saharan Africa,-12.167424062667942,17.651768783079
AIA,Anguilla,660,Americas,Latin America and the Caribbean,18.222874004219086,-63.06008343771806
ATA,Antarctica,010,,,-77.16987521415838,-177.56451613408842
ATG,Antigua and Barbuda,028,Americas,Latin America and the Caribbean,17.07146759372967,-61.78530823226373
ARG,Argentina,032,Americas,Latin America and the Caribbean,-35.697270518120085,-64.53238503843076
ARM,Armenia,051,Asia,Western Asia,40.17841274230679,45.05490831965259
ABW,Aruba,533,Americas,Latin America and the Caribbean,12.515625722992898,-69.97564014284046
AUS,Australia,036,Oceania,Australia and New Zealand,-25.69733767398308,134.02277170916162
AUT,Austria,040,Europe,Western Europe,47.631858269895794,13.797778364631036
AZE,Azerbaijan,031,Asia,Western Asia,40.3920509942049,48.63459267064432
BHS,Bahamas,044,Americas,Latin America and the Caribbean,24.72162633646784,-78.07275370060313
BHR,Bahrain,048,Asia,Western Asia,26.04798501537066,50.540695402276775
BGD,Bangladesh,050,Asia,Southern Asia,23.673728665121,90.43212562608612
BRB,Barbados,052,Americas,Latin America and the Caribbean,13.183219369337529,-59.557383949150285
BLR,Belarus,112,Europe,Eastern Europe,53.46791374543163,27.964252054715104
BEL,Belgium,056,Europe,Western Europe,50.6182138854095,4.675010154696485
BLZ,Belize,084,Americas,Latin America and the Caribbean,17.24252476647155,-88.68273510023441
BEN,Benin,204,Africa,Sub-Saharan Africa,9.503013199615893,2.305714528830206
BMU,Bermuda,060,Americas,Northern America,32.315067430740726,-64.7458500599169
BTN,Bhutan,064,Asia,Southern Asia,27.42163933959824,90.4671664717386
BOL,Bolivia,068,Americas,Latin America and the Caribbean,-16.7312488393574,-64.45209597511206
BES,"Bonaire, Sint Eustatius and Saba",535,Americas,Latin America and the Caribbean,12.180844982440338,-68.29350445958761
BES,"Bonaire, Sint Eustatius and Saba",535,Americas,Latin America and the Caribbean,17.632512616389718,-63.23739481909494
BES,"Bonaire, Sint Eustatius and Saba",535,Americas,Latin America and the Caribbean,17.4919042294197,-62.97823058944503
BIH,Bosnia and Herzegovina,070,Europe,Southern Europe,44.14415356126429,17.83467240787538
BWA,Botswana,072,Africa,Sub-Saharan Africa,-22.236609002062902,23.85779956995608
BVT,Bouvet Island,074,Americas,Latin America and the Caribbean,-54.42316679395248,3.411969465057627
BRA,Brazil,076,Americas,Latin America and the Caribbean,-11.524630416426652,-54.35520660825642
IOT,British Indian Ocean Territory,086,Africa,Sub-Saharan Africa,-7.323548444385743,72.43501618476016
